Company Name,Job Posting Time,Number of Applicants,Seniority Level,Company Industry,Detail description,Employment Type,Job Function,Size of Employee,Keyword
Blibli.com,4 weeks ago,96,Mid-Senior level,Retail,"As Data Engineer in blibli, you need to build and maintain state of the art infrastructure to make data available and accessible to the entire company to make data driven decisions. Run machine learning operations to derive insight.   Show more",Full-time,"Information Technology,Analyst,Strategy/Planning",,Senior Data Engineer
Flip.id,3 days ago,29,Mid-Senior level,"Financial Services,Banking,Information Technology and Services",Direct message the job poster from Flip.id Wulan Mayastika Human Resources Recruiter at Flip.id,Full-time,Engineering,,Senior Data Engineer
Sayurbox,4 weeks ago,<25,Associate,"Marketing and Advertising,Market Research,Internet","Sayurbox is a provider of fresh produce to household (B2C) and restaurants (B2B).  Our vision is to make fresh produce and products from farms and producers available and accessible to everyone, along with our missions (i) To be the go-to fresh produce platform and ecosystem, (ii) Innovative and top class customer experience, and (iii) Improve efficiency and transparency in the agri-supply chain. However, it is always a work in progress to seek further potential and challenge.        Powered by JazzHR Show more",Full-time,Information Technology,,Senior Data Engineer
Tjetak,16 hours ago,<25,Associate,Information Technology and Services,Direct message the job poster from Tjetak Hasandi Patriawan Building Tjetak,Full-time,Information Technology,,Senior Data Engineer
Blue Bird Group,1 week ago,<25,Associate,Transportation/Trucking/Railroad,Direct message the job poster from Blue Bird Group Ferrizal Azwar Head Of Analytics at Blue Bird Group,Full-time,Information Technology,,Senior Data Engineer
Lemonilo,2 weeks ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Design, develop, test and maintain highly scalable data infrastructure. Build high-performance integrated data pipelines. Ensure standardized metadata, access protocols, and discovery mechanisms.    Show more",Full-time,Information Technology,,Senior Data Engineer
Sayurbox,2 months ago,39,Mid-Senior level,"Marketing and Advertising,Internet,Consumer Goods","Sayurbox is a provider of fresh produce to household (B2C) and restaurants (B2B).  Our vision is to make fresh produce and products from farms and producers available and accessible to everyone, along with our missions (i) To be the go-to fresh produce platform and ecosystem, (ii) Innovative and top class customer experience, and (iii) Improve efficiency and transparency in the agri-supply chain. However, it is always a work in progress to seek further potential and challenge.         Powered by JazzHR  PutRat9Pyi Show more",Full-time,Information Technology,,Senior Data Engineer
DKATALIS (Digital Katalis),1 week ago,<25,Associate,Information Technology and Services,"We are seeking a hands-on senior data engineer to help us build out and manage our data infrastructure, which will need to operate reliably at scale using a high degree of automation in setup and maintenance. The role will involve both setting up and managing the data infrastructure, as well as building and optimizing key ETL pipelines on both batch and streaming data. The ability to work with the teams from product, engineering, BI/analytics and data science is essential. Ownership needs to be taken of data model design and data quality. Automation and the use of data science to manage and improve data quality would be valued. The individual will also play active roles in ensuring data governance policies and tooling are implemented and adhered to.  The individual will also need to be able to manage multiple stakeholders at an executive level and make well informed architectural choices when required. A high degree of empathy is required for the needs of the downstream consumers of the data artefacts produced by the data engineering team, i.e. the software engineers, data scientists, business intelligence analysts, etc and the individual needs to be able to produce transparent and easily navigable data pipelines. Value should be assigned to consistently producing high quality metadata to support discoverability and consistency of calculation and interpretation.  Candidates should have a wide set of experience across the following systems and languages:  Show more",Full-time,Information Technology,,Senior Data Engineer
PT Bank Jago Tbk,1 week ago,<25,Entry level,Financial Services,"We are seeking a hands-on senior data engineer to help us build out and manage our data infrastructure, which will need to operate reliably at scale using a high degree of automation in setup and maintenance. The role will involve both setting up and managing the data infrastructure, as well as building and optimizing key ETL pipelines on both batch and streaming data. The ability to work with the teams from product, engineering, BI/analytics and data science is essential. Ownership needs to be taken of data model design and data quality. Automation and the use of data science to manage and improve data quality would be valued. The individual will also play active roles in ensuring data governance policies and tooling are implemented and adhered to  The individual will also need to be able to manage multiple stakeholders at an executive level and make well informed architectural choices when required. A high degree of empathy is required for the needs of the downstream consumers of the data artefacts produced by the data engineering team, i.e. the software engineers, data scientists, business intelligence analysts, etc and the individual needs to be able to produce transparent and easily navigable data pipelines. Value should be assigned to consistently producing high quality metadata to support discoverability and consistency of calculation and interpretation.  Candidates should have a wide set of experience across the following systems and languages:  Show more",Full-time,Information Technology,,Senior Data Engineer
SehatQ,4 weeks ago,<25,Associate,"Information Technology and Services,Computer Software,Internet",Create and maintain end-to-end data pipeline for optimal data quality and reliability Integrate up-and-coming data management and software engineering technologies into existing data architecture     Minimum Qualifications: Show more,Full-time,Information Technology,,Senior Data Engineer
DKATALIS (Digital Katalis),1 week ago,<25,Entry level,Information Technology and Services,"We are seeking a hands-on senior data engineer to help us build out and manage our data infrastructure, which will need to operate reliably at scale using a high degree of automation in setup and maintenance. The role will involve both setting up and managing the data infrastructure, as well as building and optimizing key ETL pipelines on both batch and streaming data. The ability to work with the teams from product, engineering, BI/analytics and data science is essential. Ownership needs to be taken of data model design and data quality. Automation and the use of data science to manage and improve data quality would be valued. The individual will also play active roles in ensuring data governance policies and tooling are implemented and adhered to  The individual will also need to be able to manage multiple stakeholders at an executive level and make well informed architectural choices when required. A high degree of empathy is required for the needs of the downstream consumers of the data artefacts produced by the data engineering team, i.e. the software engineers, data scientists, business intelligence analysts, etc and the individual needs to be able to produce transparent and easily navigable data pipelines. Value should be assigned to consistently producing high quality metadata to support discoverability and consistency of calculation and interpretation.  Candidates should have a wide set of experience across the following systems and languages:  Show more",Full-time,Information Technology,,Senior Data Engineer
PT Bank Net Indonesia Syariah Tbk,2 weeks ago,<25,Mid-Senior level,"Information Technology and Services,Banking,Financial Services",Company Description  Becoming a Digital Sharia Bank is one of the Sharia Net Bank solutions to attract people in Indonesia who have not been touched by financial services.  We are continuous product development with a focus on customer interests   Qualifications   Additional Information Show more,Full-time,Information Technology,,Senior Data Engineer
PT SehatQ Harsana Emedika,3 weeks ago,<25,Associate,"Pharmaceuticals,Medical Practice","Company Description: SehatQ is a health and wellness tech startup. We are creating a platform to help the family’s health manager make health related decisions and to enable patients to practice participatory health. We do this by providing the most complete range of quality information, and connects patients to healthcare everywhere. Job Description: Show more",Full-time,Information Technology,,Senior Data Engineer
